map_name,track_id,cnt_match,percent_retire,AVG_record
차이나 빙등축제,f5d05f8cdd97615df080dc7e90ae00cd8fcb7eb2b0f711b9b250560a386a713a,29,16.5919,106815.3889
차이나 동방명주의 밤,fdbe9025514e73fe3e4f991d804ede46d2deacfcf8aef2d055a12dd63d225d0d,29,16.4,105609.3824
[reverse] 빌리지 두개의 관문,4832159665debb49f2f6709f8e1d1cf31776cc81d6fe8994573422124ad77555,28,20,115265.7692
빌리지 파괴된 손가락,64545a5d692993825d08d5e8371fa648b94b58e2a27492975eadef25a0a4119c,28,34.5382,118006.0943
빌리지 수로,12aaddc5615a4fe8c4c54239036f3d37302a1c0545893d3691f16e6a8e415916,27,26.6667,98716.46667
노르테유 우주 정거장,595e1c7551d7047a005dc946334dbf7ae8a32950ea45d5e161e56f99e8fcaf20,27,30.1205,100926.7895
WKC 상해 서킷,c961712df23e818c056b2e673467aca3e173b7bf53ee8e35cf9a3e75a3dfc0c6,27,40.4624,104481.6098
프로즌 브레이크,1453aa9e2308993cb82d223d1b3d6a57e9fc6d3bda86dd67a15f90783bda95c3,26,20.4082,147384.5806
더 월드,d192631c097fabd265a7fbe5f11925e4d0f631aec460903e8e43167249864aa2,26,31.6901,124515.2857
광산 롤러코스터 질주,0f2eefba5aa38ebdcd9db6f0a16b2846b4cde3523297ce6f227245169b21fcf8,25,5.8824,85098.18519
노르테유 코스모웨이,4211bdfc90ebaf0bca5f217435a71a11c89d4501878182e75c7e7db205a6053f,25,32.9032,105580.6
월드 파리 에펠탑 다이브,9890e87e111a0f541605c38c96e06597baba843c1f71cfba5780ace4aeb046fb,25,43.2692,163966.8571
노르테유 위험한 지름길,675f5b561f22f479152459f813525c0b20d34d5b719c780df9d5a153701a18ca,24,26.6187,127196.5968
대저택 루이의 숨겨진 비밀 방,7dd5255d3156127de409d8f3052b363505e92fdd40e48d2b9394ab51c431aba8,24,13.7387,109768.0159
[reverse] 아이스 펭귄타운,9010c6458f7ef173fad3206019b8d2ebedfcabe566854e3dcc8304ef914ee642,24,22.0339,95459.17241
쥐라기 디노 마을의 초대,93b360efc0038e55a6487d4ea45f0a166a788eac8cc11fc7c9bb5c1a2854523d,24,38.3648,127326.8286
[reverse] 아이스 상어의 무덤,9a7262a6f5332ee9a754a31471e900b099ab2701d951527c6c8441893acd10f3,24,17.8571,108101.5217
팩토리 브로디의 심술,ee9f7fc6ac66066247bc8de759996057ae42a2a5d2283f066901a8ab775d6063,24,36.039,106409.2619
해적 폭풍 속의 질주,02cbc0e83890810b3a163465021b4bd06e3deb39cc6d58be55e978f498e889d5,23,9.5238,125151.8125
